perl 1000000 2436 101100 98664 0.000149011611938477 10000 50 0.104579925537109 0.0855908393859863
perl 2000000 2424 201008 198584 0.00014495849609375 10000 50 0.104205846786499 0.0881838798522949
perl 3000000 2428 312456 310028 0.000161170959472656 10000 50 0.105312824249268 0.084989070892334
perl 4000000 2432 404080 401648 0.000168085098266602 10000 50 0.0925388336181641 0.0925519466400146
perl 5000000 2440 551520 549080 0.000243902206420898 10000 50 0.0883228778839111 0.0844588279724121
perl 6000000 2432 630792 628360 0.000141143798828125 10000 50 0.101473093032837 0.08689284324646
perl 7000000 2432 721532 719100 0.00014495849609375 10000 50 0.0886290073394775 0.0866451263427734
perl 8000000 2436 817036 814600 0.000145196914672852 10000 50 0.0897121429443359 0.0921580791473389
perl 9000000 2428 1033996 1031568 0.000134944915771484 10000 50 0.0879778861999512 0.0827958583831787
perl 10000000 2436 1113784 1111348 0.00014805793762207 10000 50 0.0914740562438965 0.086061954498291
